Father,Father Name,Father No of pairs,Father Qty,Child,Child Name,Child Qty,Process,Process Order
2-FB-1111-BK-G16,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,3-FB-1111-BK-G08,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,3-FB-1111-BK-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,3-FB-1111-BK-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,3-FB-1111-BK-G10,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G2,not required this column,20,1,3-FB-1111-BK-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,3-FB-1111-BK-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,3-FB-1111-BK-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,3-FB-1111-BK-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G3,not required this column,20,1,3-FB-1111-BK-G06,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,3-FB-1111-BK-G10,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G30,not required this column,20,1,3-FB-1111-BK-G08,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,3-FB-1111-BK-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,3-FB-1111-BK-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G4,not required this column,20,1,3-FB-1111-BK-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,3-FB-1111-BK-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,3-FB-1111-BK-G10,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,3-FB-1111-BK-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G5,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,3-FB-1111-BK-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,3-FB-1111-BK-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,3-FB-1111-BK-G06,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G6,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,3-FB-1111-BK-G07,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,3-FB-1111-BK-G08,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G7,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,7-AT-0015,not required this column,1.2,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,7-BT-0001,not required this column,1.9,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,FGMC-OH,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,3-FB-1111-BK-X11,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,7-MC-0120,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-X1,not required this column,20,1,3-FB-1111-BK-X12,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,3-FB-1111-BR-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,3-FB-1111-BR-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,3-FB-1111-BR-G10,not required this column,3,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,3-FB-1111-BR-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G1,not required this column,20,1,3-FB-1111-BR-G06,not required this column,3,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,3-FB-1111-BR-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,3-FB-1111-BR-G10,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,3-FB-1111-BR-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G2,not required this column,20,1,3-FB-1111-BR-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,3-FB-1111-BR-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,3-FB-1111-BR-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,3-FB-1111-BR-G06,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G3,not required this column,20,1,3-FB-1111-BR-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,3-FB-1111-BR-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,3-FB-1111-BR-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G4,not required this column,20,1,3-FB-1111-BR-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,3-FB-1111-BR-G10,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,3-FB-1111-BR-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G5,not required this column,20,1,3-FB-1111-BR-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,3-FB-1111-BR-G06,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,3-FB-1111-BR-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G6,not required this column,20,1,3-FB-1111-BR-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,3-FB-1111-BR-G08,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,3-FB-1111-BR-G07,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-G7,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,3-FB-1111-BR-X11,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,7-BT-0001,not required this column,1.9,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,3-FB-1111-BR-X12,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,7-MC-0120,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,FGMC-OH,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-X1,not required this column,20,1,7-AT-0015,not required this column,1.2,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,3-FB-1111-BR-X11,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,7-AT-0015,not required this column,1.2,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,7-BT-0001,not required this column,1.9,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,FGMC-OH,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BR-XB1,not required this column,20,1,7-MC-0120,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,3-FB-1111-TA-G10,not required this column,3,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,3-FB-1111-TA-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,3-FB-1111-TA-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,3-FB-1111-TA-G06,not required this column,3,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,3-FB-1111-TA-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G1,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,3-FB-1111-TA-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,3-FB-1111-TA-G10,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,3-FB-1111-TA-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,3-FB-1111-TA-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G2,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,3-FB-1111-TA-G06,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,3-FB-1111-TA-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,3-FB-1111-TA-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G3,not required this column,20,1,3-FB-1111-TA-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,3-FB-1111-TA-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,3-FB-1111-TA-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,3-FB-1111-TA-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G4,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,3-FB-1111-TA-G09,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,3-FB-1111-TA-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,3-FB-1111-TA-G10,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G5,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,3-FB-1111-TA-G08,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,3-FB-1111-TA-G06,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,3-FB-1111-TA-G07,not required this column,8,Master_Carton_Packing,1
2-FB-1111-TA-G6,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-GA8,not required this column,20,1,3-FB-1111-TA-G08,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,3-FB-1111-TA-G10,not required this column,24,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-TA-GB0,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,7-BT-0001,not required this column,3.36,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,7-MC-0120,not required this column,1,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,3-FB-1111-TA-X11,not required this column,6,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,7-AT-0015,not required this column,1.3,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,FGMC-OH,not required this column,12,Master_Carton_Packing,1
2-FB-1111-TA-X1,not required this column,20,1,3-FB-1111-TA-X12,not required this column,6,Master_Carton_Packing,1
2-FB-1111-WT-G1,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
